area,fire,log_fire,theft,age,income
1,6.2,1.824549292051046,29,0.604,11.744
2,9.5,2.2512917986064953,44,0.765,9.323
3,10.5,2.3513752571634776,36,0.735,9.948
4,7.7,2.0412203288596382,37,0.669,10.656
5,8.6,2.151762203259462,53,0.8140000000000001,9.73
6,34.1,3.529297384289471,68,0.526,8.231
8,6.9,1.9315214116032138,18,0.785,11.104
9,7.3,1.9878743481543455,31,0.9009999999999999,10.694
10,15.1,2.714694743820879,25,0.898,9.631
11,29.1,3.370738174177447,34,0.8270000000000001,7.995
12,2.2,0.7884573603642703,14,0.402,13.722
13,5.7,1.7404661748405046,11,0.27899999999999997,16.25
14,2.0,0.6931471805599453,11,0.077,13.686
15,2.5,0.9162907318741551,22,0.638,12.405
16,3.0,1.0986122886681098,17,0.512,12.198
17,5.4,1.6863989535702288,27,0.851,11.6
18,2.2,0.7884573603642703,9,0.444,12.765
19,7.2,1.9740810260220096,29,0.8420000000000001,11.084
20,15.1,2.714694743820879,30,0.898,10.51
21,16.5,2.803360380906535,40,0.727,9.784
22,18.4,2.91235066461494,32,0.7290000000000001,7.342
23,36.2,3.5890591188317256,41,0.631,6.565
25,18.5,2.917770732084279,22,0.7829999999999999,8.014
26,23.3,3.1484533605716547,29,0.79,8.177
27,12.2,2.501435951739211,46,0.48,8.212
28,5.6,1.7227665977411035,23,0.715,11.23
29,21.8,3.0819099697950434,4,0.731,8.33
30,21.6,3.0726933146901194,31,0.65,5.583
31,9.0,2.1972245773362196,39,0.754,8.564
32,3.6,1.2809338454620642,15,0.20800000000000002,12.102
33,5.0,1.6094379124341003,32,0.618,11.876
34,28.6,3.353406717825807,27,0.7809999999999999,9.742
35,17.4,2.856470206220483,32,0.6859999999999999,7.52
36,11.3,2.424802725718295,34,0.7340000000000001,7.388
37,3.4,1.2237754316221157,17,0.02,13.842
38,11.9,2.4765384001174837,46,0.57,11.04
39,10.5,2.3513752571634776,42,0.5589999999999999,10.332
40,10.7,2.3702437414678603,43,0.675,10.908
41,10.8,2.379546134130174,34,0.58,11.156
42,4.8,1.5686159179138452,19,0.152,13.323
43,10.4,2.341805806147327,25,0.408,12.96
44,15.6,2.747270914255491,28,0.578,11.26
45,7.0,1.9459101490553132,3,0.114,10.08
46,7.1,1.9600947840472698,23,0.49200000000000005,11.428
47,4.9,1.589235205116581,27,0.466,13.731
